epoch: 19, 	iteration: 1000, 	val loss: 0.07731605304777622, 	train loss: 0.07731605304777622, 	best loss: 0.07731605304777622
epoch: 38, 	iteration: 2000, 	val loss: 0.04692159645073116, 	train loss: 0.04692159645073116, 	best loss: 0.04692159645073116
epoch: 57, 	iteration: 3000, 	val loss: 0.04147666479367763, 	train loss: 0.04147666479367763, 	best loss: 0.04147666479367763
epoch: 76, 	iteration: 4000, 	val loss: 0.038708094112342224, 	train loss: 0.038708094112342224, 	best loss: 0.038708094112342224
epoch: 95, 	iteration: 5000, 	val loss: 0.03665904704172863, 	train loss: 0.03665904704172863, 	best loss: 0.03665904704172863
epoch: 114, 	iteration: 6000, 	val loss: 0.03594368226407096, 	train loss: 0.03594368226407096, 	best loss: 0.03594368226407096
epoch: 133, 	iteration: 7000, 	val loss: 0.035157877428166104, 	train loss: 0.035157877428166104, 	best loss: 0.035157877428166104
epoch: 151, 	iteration: 8000, 	val loss: 0.03461609538353514, 	train loss: 0.03461609538353514, 	best loss: 0.03461609538353514
epoch: 170, 	iteration: 9000, 	val loss: 0.03378489028010517, 	train loss: 0.03378489028010517, 	best loss: 0.03378489028010517
epoch: 189, 	iteration: 10000, 	val loss: 0.03346799928307882, 	train loss: 0.03346799928307882, 	best loss: 0.03346799928307882
epoch: 208, 	iteration: 11000, 	val loss: 0.03258398289422621, 	train loss: 0.03258398289422621, 	best loss: 0.03258398289422621
epoch: 227, 	iteration: 12000, 	val loss: 0.03147305443068035, 	train loss: 0.03147305443068035, 	best loss: 0.03147305443068035
epoch: 246, 	iteration: 13000, 	val loss: 0.03178322768898215, 	train loss: 0.03178322768898215, 	best loss: 0.03147305443068035
epoch: 265, 	iteration: 14000, 	val loss: 0.03106058480849606, 	train loss: 0.03106058480849606, 	best loss: 0.03106058480849606
epoch: 302, 	iteration: 16000, 	val loss: 0.06031864561824477, 	train loss: 0.06031864561824477, 	best loss: 0.03106058480849606
epoch: 321, 	iteration: 17000, 	val loss: 0.0294493440752849, 	train loss: 0.0294493440752849, 	best loss: 0.0294493440752849
epoch: 340, 	iteration: 18000, 	val loss: 0.028331198777945245, 	train loss: 0.028331198777945245, 	best loss: 0.028331198777945245
epoch: 359, 	iteration: 19000, 	val loss: 0.027850774951279165, 	train loss: 0.027850774951279165, 	best loss: 0.027850774951279165
epoch: 378, 	iteration: 20000, 	val loss: 0.02713625976126059, 	train loss: 0.02713625976126059, 	best loss: 0.02713625976126059
epoch: 397, 	iteration: 21000, 	val loss: 0.026515845644287765, 	train loss: 0.026515845644287765, 	best loss: 0.026515845644287765
epoch: 416, 	iteration: 22000, 	val loss: 0.02631520492164418, 	train loss: 0.02631520492164418, 	best loss: 0.02631520492164418
epoch: 434, 	iteration: 23000, 	val loss: 0.025061343857087196, 	train loss: 0.025061343857087196, 	best loss: 0.025061343857087196
epoch: 453, 	iteration: 24000, 	val loss: 0.024888588587753474, 	train loss: 0.024888588587753474, 	best loss: 0.024888588587753474
epoch: 472, 	iteration: 25000, 	val loss: 0.023781495260074736, 	train loss: 0.023781495260074736, 	best loss: 0.023781495260074736
epoch: 491, 	iteration: 26000, 	val loss: 0.02338350145664299, 	train loss: 0.02338350145664299, 	best loss: 0.02338350145664299
epoch: 510, 	iteration: 27000, 	val loss: 0.022410000958829186, 	train loss: 0.022410000958829186, 	best loss: 0.022410000958829186
epoch: 529, 	iteration: 28000, 	val loss: 0.021845609566487838, 	train loss: 0.021845609566487838, 	best loss: 0.021845609566487838
epoch: 547, 	iteration: 29000, 	val loss: 0.02109686143157887, 	train loss: 0.02109686143157887, 	best loss: 0.02109686143157887
epoch: 566, 	iteration: 30000, 	val loss: 0.021163309461553582, 	train loss: 0.021163309461553582, 	best loss: 0.02109686143157887
epoch: 585, 	iteration: 31000, 	val loss: 0.020527169146575035, 	train loss: 0.020527169146575035, 	best loss: 0.020527169146575035
epoch: 604, 	iteration: 32000, 	val loss: 0.020026886587576884, 	train loss: 0.020026886587576884, 	best loss: 0.020026886587576884
epoch: 623, 	iteration: 33000, 	val loss: 0.019978644811781122, 	train loss: 0.019978644811781122, 	best loss: 0.019978644811781122
epoch: 642, 	iteration: 34000, 	val loss: 0.019906467126158532, 	train loss: 0.019906467126158532, 	best loss: 0.019906467126158532
epoch: 661, 	iteration: 35000, 	val loss: 0.019214059023768642, 	train loss: 0.019214059023768642, 	best loss: 0.019214059023768642
epoch: 679, 	iteration: 36000, 	val loss: 0.018624848948209545, 	train loss: 0.018624848948209545, 	best loss: 0.018624848948209545
epoch: 698, 	iteration: 37000, 	val loss: 0.017947386571438982, 	train loss: 0.017947386571438982, 	best loss: 0.017947386571438982
epoch: 717, 	iteration: 38000, 	val loss: 0.0178058491157135, 	train loss: 0.0178058491157135, 	best loss: 0.0178058491157135
epoch: 736, 	iteration: 39000, 	val loss: 0.01760351500134857, 	train loss: 0.01760351500134857, 	best loss: 0.01760351500134857
epoch: 755, 	iteration: 40000, 	val loss: 0.01711047833802877, 	train loss: 0.01711047833802877, 	best loss: 0.01711047833802877
epoch: 774, 	iteration: 41000, 	val loss: 0.01670959395014506, 	train loss: 0.01670959395014506, 	best loss: 0.01670959395014506
epoch: 793, 	iteration: 42000, 	val loss: 0.016768207929912023, 	train loss: 0.016768207929912023, 	best loss: 0.01670959395014506
epoch: 812, 	iteration: 43000, 	val loss: 0.016390283816261217, 	train loss: 0.016390283816261217, 	best loss: 0.016390283816261217
epoch: 830, 	iteration: 44000, 	val loss: 0.01640626134420745, 	train loss: 0.01640626134420745, 	best loss: 0.016390283816261217
epoch: 849, 	iteration: 45000, 	val loss: 0.016269397029333048, 	train loss: 0.016269397029333048, 	best loss: 0.016269397029333048
epoch: 868, 	iteration: 46000, 	val loss: 0.01585437611324596, 	train loss: 0.01585437611324596, 	best loss: 0.01585437611324596
epoch: 887, 	iteration: 47000, 	val loss: 0.01572665432312351, 	train loss: 0.01572665432312351, 	best loss: 0.01572665432312351
